date,hour,NO,NO2,NOx,O3
2014-04-02,14,1,6,7,99
2014-04-02,15,1,5,7,102
2014-04-02,16,1,5,6,105
2014-04-02,17,1,4,5,106
2014-04-02,18,1,5,5,103
2014-04-02,19,1,23,24,68
2014-04-02,20,1,16,17,63
2014-04-02,21,1,15,16,57
2014-04-02,22,1,15,15,63
2014-04-02,23,1,7,7,66
2014-04-02,24,1,2,4,70
2014-04-03,1,1,2,2,69
2014-04-03,2,1,2,4,62
2014-04-03,3,,,,49
2014-04-03,4,1,6,7,
2014-04-03,5,1,8,9,40
2014-04-03,6,1,9,10,28
2014-04-03,7,8,25,37,10
2014-04-03,8,5,27,35,16
2014-04-03,9,3,28,32,26
2014-04-03,10,1,21,24,39
2014-04-03,11,1,14,15,61
2014-04-03,12,1,8,9,82
2014-04-03,13,2,16,19,66
2014-04-03,14,2,16,19,65
2014-04-03,15,3,17,22,66
2014-04-03,16,1,17,19,66
2014-04-03,17,1,18,20,72
2014-04-03,18,1,17,19,74
2014-04-03,19,1,24,25,64
2014-04-03,20,1,23,24,61
2014-04-03,21,1,15,16,83
2014-04-03,22,1,4,6,104
2014-04-03,23,1,5,5,99
2014-04-03,24,1,17,17,60
2014-04-04,1,1,9,10,78
2014-04-04,2,1,2,4,98
2014-04-04,3,,,,102
2014-04-04,4,1,7,7,
2014-04-04,5,1,9,9,81
2014-04-04,6,1,9,10,82
2014-04-04,7,1,13,14,88
2014-04-04,8,1,16,18,88
2014-04-04,9,1,18,21,88
2014-04-04,10,2,15,18,94
2014-04-04,11,1,7,8,104
2014-04-04,12,1,4,5,105
2014-04-04,13,1,4,5,102
2014-04-04,14,1,4,5,99
2014-04-04,15,1,8,9,91
2014-04-04,16,1,8,9,91
2014-04-04,17,1,4,5,96
2014-04-04,18,1,4,5,97
2014-04-04,19,1,6,6,97
2014-04-04,20,1,5,6,97
2014-04-04,21,1,5,6,86
2014-04-04,22,1,8,9,70
2014-04-04,23,1,10,11,55
2014-04-04,24,1,8,9,64
2014-04-05,1,1,9,10,57
2014-04-05,2,1,6,6,72
2014-04-05,3,,,,75
2014-04-05,4,1,5,6,
2014-04-05,5,1,7,8,90
2014-04-05,6,1,8,9,81
2014-04-05,7,1,9,9,84
2014-04-05,8,1,13,15,75
2014-04-05,9,1,13,14,70
2014-04-05,10,1,10,10,79
2014-04-05,11,1,10,12,81
2014-04-05,12,1,11,12,79
2014-04-05,13,1,11,13,80
2014-04-05,14,2,11,15,83
2014-04-05,15,1,9,10,90
2014-04-05,16,1,9,11,89
2014-04-05,17,1,8,9,92
2014-04-05,18,1,9,9,83
2014-04-05,19,1,12,12,76
2014-04-05,20,1,26,27,51
2014-04-05,21,1,22,22,47
2014-04-05,22,1,17,18,39
2014-04-05,23,1,13,14,46
2014-04-05,24,1,16,16,36
2014-04-06,1,1,14,15,39
2014-04-06,2,1,10,11,43
2014-04-06,3,,,,49
2014-04-06,4,1,7,7,
2014-04-06,5,1,6,7,52
2014-04-06,6,1,6,7,58
2014-04-06,7,1,12,14,32
2014-04-06,8,14,26,48,24
2014-04-06,9,8,21,33,38
2014-04-06,10,24,36,72,49
2014-04-06,11,2,14,18,74
2014-04-06,12,1,9,11,93
2014-04-06,13,1,6,8,99
2014-04-06,14,1,6,8,102
2014-04-06,15,1,6,6,108
2014-04-06,16,1,6,7,110
2014-04-06,17,1,7,8,106
2014-04-06,18,1,10,12,99
2014-04-06,19,1,15,16,82
2014-04-06,20,1,19,20,62
2014-04-06,21,1,12,14,66
2014-04-06,22,1,11,12,65
2014-04-06,23,1,10,11,66
2014-04-06,24,1,10,11,61
2014-04-07,1,1,12,13,49
2014-04-07,2,1,9,10,52
2014-04-07,3,,,,42
2014-04-07,4,1,14,16,
2014-04-07,5,1,14,15,38
2014-04-07,6,1,15,16,41
2014-04-07,7,3,25,30,28
2014-04-07,8,4,23,29,41
2014-04-07,9,2,14,18,57
2014-04-07,10,1,9,10,79
2014-04-07,11,1,6,7,92
2014-04-07,12,2,12,16,90
2014-04-07,13,1,12,15,96
2014-04-07,14,1,9,11,102
2014-04-07,15,1,8,9,110
2014-04-07,16,1,7,9,116
2014-04-07,17,1,8,8,117
2014-04-07,18,1,9,9,112
2014-04-07,19,1,16,17,87
2014-04-07,20,1,13,14,85
2014-04-07,21,1,12,13,82
2014-04-07,22,1,12,13,70
2014-04-07,23,1,10,11,72
2014-04-07,24,1,8,9,73
2014-04-08,1,1,6,6,72
2014-04-08,2,1,5,6,71
2014-04-08,3,,,,79
2014-04-08,4,1,6,6,
2014-04-08,5,1,9,10,68
2014-04-08,6,1,12,14,66
2014-04-08,7,1,21,24,50
2014-04-08,8,5,28,36,32
2014-04-08,9,7,28,38,31
2014-04-08,10,4,22,29,53
2014-04-08,11,1,11,13,94
2014-04-08,12,4,22,27,85
2014-04-08,13,2,19,23,92
2014-04-08,14,1,8,10,106
2014-04-08,15,1,6,7,109
2014-04-08,16,1,7,7,103
2014-04-08,17,1,10,10,98
2014-04-08,18,1,9,10,90
2014-04-08,19,1,21,21,68
2014-04-08,20,1,24,25,60
2014-04-08,21,1,22,23,52
2014-04-08,22,1,25,26,45
2014-04-08,23,1,25,26,30
2014-04-08,24,1,20,21,30
2014-04-09,1,1,12,13,73
2014-04-09,2,1,8,8,71
2014-04-09,3,,,,55
2014-04-09,4,1,6,7,
2014-04-09,5,1,6,7,69
2014-04-09,6,1,6,7,79
2014-04-09,7,1,7,9,82
2014-04-09,8,1,9,11,80
2014-04-09,9,3,14,18,70
2014-04-09,10,2,7,11,79
2014-04-09,11,1,2,4,93
2014-04-09,12,,,,
2014-04-09,13,1,5,6,99
2014-04-09,14,1,7,9,98
2014-04-09,15,1,8,9,95
2014-04-09,16,1,8,10,93
2014-04-09,17,1,7,8,97
2014-04-09,18,1,8,9,95
2014-04-09,19,1,11,12,84
2014-04-09,20,1,16,18,61
2014-04-09,21,1,13,14,63
2014-04-09,22,1,12,13,59
2014-04-09,23,1,11,12,58
2014-04-09,24,1,10,11,61
2014-04-10,1,1,11,11,61
2014-04-10,2,1,15,16,57
2014-04-10,3,,,,64
2014-04-10,4,1,11,12,
2014-04-10,5,1,12,14,59
2014-04-10,6,1,16,17,50
2014-04-10,7,3,22,26,47
2014-04-10,8,4,23,30,41
2014-04-10,9,2,13,16,73
2014-04-10,10,1,9,11,89
2014-04-10,11,3,12,16,84
2014-04-10,12,2,10,13,90
2014-04-10,13,1,8,11,100
2014-04-10,14,1,7,8,106
2014-04-10,15,1,8,10,113
2014-04-10,16,1,10,11,112
2014-04-10,17,1,10,12,112
2014-04-10,18,1,11,13,104
2014-04-10,19,1,15,17,87
2014-04-10,20,1,14,15,86
2014-04-10,21,1,11,13,94
2014-04-10,22,1,9,11,98
2014-04-10,23,1,13,14,62
2014-04-10,24,1,16,17,47
2014-04-11,1,1,12,13,64
2014-04-11,2,1,10,11,81
2014-04-11,3,,,,79
2014-04-11,4,1,7,9,
2014-04-11,5,1,11,13,66
2014-04-11,6,1,14,16,53
2014-04-11,7,1,18,20,51
2014-04-11,8,2,14,17,66
2014-04-11,9,2,8,12,80
2014-04-11,10,2,8,12,75
2014-04-11,11,1,2,6,86
2014-04-11,12,1,2,6,91
2014-04-11,13,1,2,5,92
2014-04-11,14,1,2,4,95
2014-04-11,15,1,2,2,95
2014-04-11,16,1,2,5,97
2014-04-11,17,1,2,5,101
2014-04-11,18,1,2,4,100
2014-04-11,19,1,2,5,95
2014-04-11,20,1,6,7,86
2014-04-11,21,1,5,6,88
2014-04-11,22,1,2,2,89
2014-04-11,23,1,8,10,65
2014-04-11,24,1,6,8,63
2014-04-12,1,1,2,5,77
2014-04-12,2,1,2,2,85
2014-04-12,3,,,,86
2014-04-12,4,1,2,5,
2014-04-12,5,1,6,7,67
2014-04-12,6,1,8,9,53
2014-04-12,7,1,17,20,35
2014-04-12,8,3,13,18,51
2014-04-12,9,1,5,7,76
2014-04-12,10,1,2,6,89
2014-04-12,11,1,2,7,89
2014-04-12,12,1,6,8,87
2014-04-12,13,1,2,7,92
2014-04-12,14,1,4,7,94
2014-04-12,15,1,2,6,95
2014-04-12,16,1,2,4,97
2014-04-12,17,1,2,5,98
2014-04-12,18,1,2,5,96
2014-04-12,19,1,4,5,93
2014-04-12,20,1,6,8,85
2014-04-12,21,1,5,7,86
2014-04-12,22,1,10,12,63
2014-04-12,23,1,7,9,56
2014-04-12,24,1,7,8,50
2014-04-13,1,1,6,7,45
2014-04-13,2,1,2,5,52
2014-04-13,3,,,,44
2014-04-13,4,1,2,2,
2014-04-13,5,1,2,2,48
2014-04-13,6,1,4,6,48
2014-04-13,7,1,8,9,39
2014-04-13,8,1,5,6,50
2014-04-13,9,1,2,5,78
2014-04-13,10,1,2,2,87
2014-04-13,11,1,2,2,88
2014-04-13,12,1,7,9,85
2014-04-13,13,1,2,5,91
2014-04-13,14,1,2,2,97
2014-04-13,15,1,2,2,98
2014-04-13,16,1,2,2,101
2014-04-13,17,1,2,2,99
2014-04-13,18,1,2,2,98
2014-04-13,19,1,5,6,85
2014-04-13,20,1,11,12,61
2014-04-13,21,1,8,10,58
2014-04-13,22,1,6,8,66
2014-04-13,23,1,5,5,61
2014-04-13,24,1,2,2,68
2014-04-14,1,1,2,2,70
2014-04-14,2,1,2,2,59
2014-04-14,3,,,,62
2014-04-14,4,1,4,6,
2014-04-14,5,1,9,11,59
2014-04-14,6,1,13,14,53
2014-04-14,7,2,16,19,46
2014-04-14,8,3,15,20,45
2014-04-14,9,2,8,12,
2014-04-14,10,1,5,7,
2014-04-14,11,1,5,7,
2014-04-14,12,1,6,8,76
2014-04-14,13,1,6,8,111
2014-04-14,14,1,6,8,116
2014-04-14,15,1,6,9,119
2014-04-14,16,1,5,7,122
2014-04-14,17,1,8,9,119
2014-04-14,18,1,8,10,116
2014-04-14,19,1,14,15,100
2014-04-14,20,1,13,14,84
2014-04-14,21,1,18,20,69
2014-04-14,22,1,6,7,91
2014-04-14,23,1,5,6,89
2014-04-14,24,1,5,6,86
2014-04-15,1,1,2,4,96
2014-04-15,2,1,4,5,90
2014-04-15,3,,,,83
2014-04-15,4,1,2,4,80
2014-04-15,5,1,6,8,64
2014-04-15,6,1,11,12,50
2014-04-15,7,1,13,15,49
2014-04-15,8,1,10,13,
2014-04-15,9,2,9,13,72
2014-04-15,10,2,8,11,75
2014-04-15,11,1,2,4,86
2014-04-15,12,1,4,6,90
2014-04-15,13,1,2,6,96
2014-04-15,14,3,5,9,99
2014-04-15,15,1,6,9,100
2014-04-15,16,1,4,6,104
2014-04-15,17,3,6,10,101
2014-04-15,18,3,10,14,94
2014-04-15,19,1,6,8,90
2014-04-15,20,1,14,16,73
2014-04-15,21,1,9,11,83
2014-04-15,22,1,7,10,78
2014-04-15,23,1,11,13,72
2014-04-15,24,1,8,10,69
2014-04-16,1,1,6,6,68
2014-04-16,2,1,2,5,79
2014-04-16,3,,,,77
2014-04-16,4,1,8,9,
2014-04-16,5,1,8,10,47
2014-04-16,6,1,9,11,47
2014-04-16,7,3,14,19,41
2014-04-16,8,6,19,28,46
2014-04-16,9,1,9,12,73
2014-04-16,10,3,7,12,78
2014-04-16,11,,,,82
2014-04-16,12,,,,86
2014-04-16,13,1,5,7,91
2014-04-16,14,1,4,6,94
2014-04-16,15,1,2,6,95
2014-04-16,16,1,2,7,97
2014-04-16,17,1,4,7,96
2014-04-16,18,1,6,9,94
2014-04-16,19,1,13,16,74
2014-04-16,20,1,18,21,57
2014-04-16,21,1,13,15,68
2014-04-16,22,1,12,14,70
2014-04-16,23,1,11,12,64
2014-04-16,24,1,7,8,64
2014-04-17,1,1,6,7,62
2014-04-17,2,1,6,8,55
2014-04-17,3,,,,50
2014-04-17,4,1,9,11,
2014-04-17,5,1,8,10,53
2014-04-17,6,1,6,9,48
2014-04-17,7,3,14,19,42
2014-04-17,8,3,11,15,53
2014-04-17,9,2,7,10,66
2014-04-17,10,1,2,4,80
2014-04-17,11,2,2,7,82
2014-04-17,12,1,2,4,86
2014-04-17,13,1,2,4,92
2014-04-17,14,1,2,5,97
2014-04-17,15,3,2,7,104
2014-04-17,16,1,2,2,110
2014-04-17,17,1,2,5,107
2014-04-17,18,1,2,5,103
2014-04-17,19,1,11,13,84
2014-04-17,20,1,21,23,62
2014-04-17,21,1,10,13,69
2014-04-17,22,1,9,10,70
2014-04-17,23,1,4,6,85
2014-04-17,24,1,2,5,83
2014-04-18,1,1,2,6,73
2014-04-18,2,1,2,2,69
2014-04-18,3,,,,68
2014-04-18,4,1,2,5,
2014-04-18,5,1,2,6,64
2014-04-18,6,1,6,8,54
2014-04-18,7,1,11,14,49
2014-04-18,8,3,13,19,49
2014-04-18,9,2,5,9,78
2014-04-18,10,2,4,8,89
2014-04-18,11,3,9,14,82
2014-04-18,12,1,2,7,91
2014-04-18,13,1,2,6,98
2014-04-18,14,3,4,8,101
2014-04-18,15,2,6,10,103
2014-04-18,16,1,4,7,116
2014-04-18,17,1,7,9,111
2014-04-18,18,1,12,14,97
2014-04-18,19,1,25,28,66
2014-04-18,20,1,20,22,64
2014-04-18,21,1,14,16,70
2014-04-18,22,1,8,10,70
2014-04-18,23,1,8,9,65
2014-04-18,24,1,7,9,66
2014-04-19,1,1,6,8,58
2014-04-19,2,1,5,6,77
2014-04-19,3,,,,85
2014-04-19,4,1,2,2,
2014-04-19,5,1,2,4,93
2014-04-19,6,1,2,2,94
2014-04-19,7,1,2,2,86
2014-04-19,8,1,2,4,85
2014-04-19,9,1,2,5,82
2014-04-19,10,1,2,5,86
2014-04-19,11,1,2,2,92
2014-04-19,12,1,2,2,96
2014-04-19,13,1,2,2,99
2014-04-19,14,1,2,2,102
2014-04-19,15,1,2,2,107
2014-04-19,16,1,2,2,109
2014-04-19,17,1,2,2,113
2014-04-19,18,1,2,2,113
2014-04-19,19,1,2,2,110
2014-04-19,20,1,6,9,93
2014-04-19,21,1,11,12,64
2014-04-19,22,1,10,11,58
2014-04-19,23,1,7,8,51
2014-04-19,24,1,8,10,43
2014-04-20,1,1,4,6,44
2014-04-20,2,1,2,2,44
2014-04-20,3,,,,50
2014-04-20,4,1,4,5,
2014-04-20,5,1,6,7,37
2014-04-20,6,1,8,9,32
2014-04-20,7,1,7,10,29
2014-04-20,8,5,13,21,28
2014-04-20,9,4,11,17,34
2014-04-20,10,4,9,15,49
2014-04-20,11,2,7,11,71
2014-04-20,12,1,2,4,93
2014-04-20,13,1,2,5,96
2014-04-20,14,1,5,7,97
2014-04-20,15,1,2,4,100
2014-04-20,16,1,2,2,105
2014-04-20,17,1,2,2,111
2014-04-20,18,1,2,2,110
2014-04-20,19,1,2,2,110
2014-04-20,20,1,2,2,106
2014-04-20,21,1,2,2,91
2014-04-20,22,1,6,8,72
2014-04-20,23,1,6,7,76
2014-04-20,24,1,2,5,84
2014-04-21,1,1,2,5,71
2014-04-21,2,1,2,5,63
2014-04-21,3,,,,64
2014-04-21,4,1,2,2,
2014-04-21,5,1,2,2,71
2014-04-21,6,1,2,2,67
2014-04-21,7,1,2,5,57
2014-04-21,8,1,4,6,54
2014-04-21,9,1,2,5,55
2014-04-21,10,1,2,5,54
2014-04-21,11,1,2,4,64
2014-04-21,12,1,2,5,63
2014-04-21,13,1,2,6,66
2014-04-21,14,1,2,4,67
2014-04-21,15,1,2,2,70
2014-04-21,16,1,2,4,69
2014-04-21,17,1,2,4,72
2014-04-21,18,1,2,2,75
2014-04-21,19,1,2,5,76
2014-04-21,20,1,2,4,70
2014-04-21,21,1,4,6,63
2014-04-21,22,1,11,12,41
2014-04-21,23,1,11,13,31
2014-04-21,24,1,7,8,26
2014-04-22,1,1,2,2,24
2014-04-22,2,1,2,2,21
2014-04-22,3,,,,26
2014-04-22,4,1,4,6,
2014-04-22,5,1,6,7,21
2014-04-22,6,1,8,11,20
2014-04-22,7,3,10,14,21
2014-04-22,8,3,13,17,28
2014-04-22,9,2,9,13,50
2014-04-22,10,,,,
2014-04-22,11,,,,
2014-04-22,12,1,7,9,
2014-04-22,13,1,7,8,97
2014-04-22,14,1,6,7,105
2014-04-22,15,1,7,9,103
2014-04-22,16,1,7,9,101
2014-04-22,17,1,8,10,96
2014-04-22,18,1,9,11,94
2014-04-22,19,1,10,11,90
2014-04-22,20,1,9,9,84
2014-04-22,21,1,7,8,79
2014-04-22,22,1,7,9,71
2014-04-22,23,1,7,8,49
2014-04-22,24,1,5,6,44
2014-04-23,1,1,2,5,45
2014-04-23,2,1,2,5,46
2014-04-23,3,,,,37
2014-04-23,4,1,5,6,
2014-04-23,5,1,7,8,27
2014-04-23,6,2,10,13,16
2014-04-23,7,12,26,44,5
2014-04-23,8,7,24,34,19
2014-04-23,9,3,20,25,29
2014-04-23,10,3,16,20,35
2014-04-23,11,4,12,17,46
2014-04-23,12,2,9,12,65
2014-04-23,13,1,5,7,87
2014-04-23,14,1,6,7,99
2014-04-23,15,1,8,10,103
2014-04-23,16,1,8,10,107
2014-04-23,17,1,10,13,103
2014-04-23,18,1,10,12,96
2014-04-23,19,1,8,10,84
2014-04-23,20,1,10,12,74
2014-04-23,21,1,11,12,68
2014-04-23,22,1,6,8,71
2014-04-23,23,1,7,9,63
2014-04-23,24,1,6,7,64
2014-04-24,1,1,6,7,58
2014-04-24,2,1,5,7,64
2014-04-24,3,,,,59
2014-04-24,4,1,6,7,
2014-04-24,5,1,9,11,38
2014-04-24,6,1,11,14,26
2014-04-24,7,7,22,32,14
2014-04-24,8,8,22,34,22
2014-04-24,9,10,24,38,37
2014-04-24,10,2,10,13,78
2014-04-24,11,1,8,11,88
2014-04-24,12,1,8,11,95
2014-04-24,13,4,12,18,94
2014-04-24,14,14,15,37,103
2014-04-24,15,2,7,11,112
2014-04-24,16,1,8,10,111
2014-04-24,17,3,10,15,107
2014-04-24,18,2,8,11,106
2014-04-24,19,1,13,16,91
2014-04-24,20,1,11,12,78
2014-04-24,21,1,9,11,79
2014-04-24,22,1,8,10,63
2014-04-24,23,1,7,8,60
2014-04-24,24,1,7,9,59
2014-04-25,1,1,5,7,61
2014-04-25,2,1,2,5,64
2014-04-25,3,,,,65
2014-04-25,4,1,2,2,
2014-04-25,5,1,2,2,61
2014-04-25,6,1,2,6,61
2014-04-25,7,1,6,9,53
2014-04-25,8,3,10,15,55
2014-04-25,9,2,9,12,70
2014-04-25,10,1,4,6,91
2014-04-25,11,1,4,6,100
2014-04-25,12,1,2,4,109
2014-04-25,13,1,2,2,116
2014-04-25,14,1,2,2,120
2014-04-25,15,1,2,2,125
2014-04-25,16,1,2,2,126
2014-04-25,17,1,2,2,126
2014-04-25,18,1,2,2,121
2014-04-25,19,1,8,10,109
2014-04-25,20,1,7,8,105
2014-04-25,21,1,8,9,84
2014-04-25,22,1,12,14,63
2014-04-25,23,1,8,9,62
2014-04-25,24,1,7,9,75
2014-04-26,1,1,2,5,95
2014-04-26,2,1,2,2,97
2014-04-26,3,,,,79
2014-04-26,4,1,2,2,
2014-04-26,5,1,2,2,50
2014-04-26,6,1,4,5,49
2014-04-26,7,1,7,9,39
2014-04-26,8,1,9,12,60
2014-04-26,9,1,6,8,68
2014-04-26,10,1,5,7,84
2014-04-26,11,1,4,6,98
2014-04-26,12,1,4,6,105
2014-04-26,13,1,6,8,109
2014-04-26,14,1,4,6,118
2014-04-26,15,1,2,5,119
2014-04-26,16,1,2,6,118
2014-04-26,17,1,2,4,112
2014-04-26,18,1,2,4,97
2014-04-26,19,1,7,8,98
2014-04-26,20,1,7,8,100
2014-04-26,21,1,8,9,84
2014-04-26,22,1,9,10,71
2014-04-26,23,1,7,9,79
2014-04-26,24,1,8,10,75
2014-04-27,1,1,5,7,70
2014-04-27,2,1,2,5,70
2014-04-27,3,,,,71
2014-04-27,4,1,5,5,
2014-04-27,5,1,5,6,64
2014-04-27,6,1,8,9,44
2014-04-27,7,1,9,11,46
2014-04-27,8,1,5,7,55
2014-04-27,9,1,6,8,58
2014-04-27,10,1,6,9,63
2014-04-27,11,1,5,7,69
2014-04-27,12,1,6,8,54
2014-04-27,13,1,6,8,50
2014-04-27,14,6,4,13,63
2014-04-27,15,5,5,14,69
2014-04-27,16,3,6,10,71
2014-04-27,17,2,7,10,75
2014-04-27,18,1,7,10,81
2014-04-27,19,1,8,10,74
2014-04-27,20,1,11,14,71
2014-04-27,21,1,13,16,56
2014-04-27,22,1,13,16,57
2014-04-27,23,1,13,15,57
2014-04-27,24,2,14,17,52
2014-04-28,1,2,14,18,53
2014-04-28,2,1,14,16,47
2014-04-28,3,,,,41
2014-04-28,4,1,29,31,
2014-04-28,5,1,27,29,37
2014-04-28,6,1,24,26,37
2014-04-28,7,1,28,30,31
2014-04-28,8,3,25,29,37
2014-04-28,9,4,31,36,31
2014-04-28,10,4,36,42,26
2014-04-28,11,4,32,38,44
2014-04-28,12,3,32,37,38
2014-04-28,13,1,34,37,34
2014-04-28,14,1,26,28,65
2014-04-28,15,1,26,26,70
2014-04-28,16,1,25,26,57
2014-04-28,17,1,29,30,57
2014-04-28,18,1,28,29,49
2014-04-28,19,1,30,31,58
2014-04-28,20,1,22,24,71
2014-04-28,21,1,23,23,74
2014-04-28,22,1,23,23,73
2014-04-28,23,1,21,23,72
2014-04-28,24,1,21,22,67
2014-04-29,1,,,,
2014-04-29,2,,,,
2014-04-29,3,,,,
2014-04-29,4,,,,
2014-04-29,5,,,,
2014-04-29,6,,,,
2014-04-29,7,,,,
2014-04-29,8,,,,
2014-04-29,9,,,,
2014-04-29,10,,,,
2014-04-29,11,,,,
2014-04-29,12,,,,
2014-04-29,13,,,,
2014-04-29,14,,,,
2014-04-29,15,,,,
2014-04-29,16,,,,
2014-04-29,17,,,,
2014-04-29,18,,,,
2014-04-29,19,,,,
2014-04-29,20,,,,
2014-04-29,21,,,,
2014-04-29,22,,,,
2014-04-29,23,,,,
2014-04-29,24,,,,
2014-04-30,1,,,,52
2014-04-30,2,,,,46
2014-04-30,3,,,,43
2014-04-30,4,1,8,9,
2014-04-30,5,1,10,12,45
2014-04-30,6,1,12,13,57
2014-04-30,7,1,13,15,48
2014-04-30,8,1,17,19,46
2014-04-30,9,1,21,23,41
2014-04-30,10,1,8,9,82
2014-04-30,11,1,7,9,75
2014-04-30,12,1,8,10,79
2014-04-30,13,1,8,9,75
2014-04-30,14,1,7,9,81
2014-04-30,15,1,7,8,84
2014-04-30,16,1,6,7,84
2014-04-30,17,1,6,8,77
2014-04-30,18,1,10,11,73
2014-04-30,19,1,10,11,71
2014-04-30,20,1,10,12,73
2014-04-30,21,1,10,11,66
2014-04-30,22,1,14,15,48
2014-04-30,23,1,13,14,41
2014-04-30,24,1,12,15,40
2014-05-01,1,1,10,12,36
2014-05-01,2,1,12,14,28
2014-05-01,3,,,,24
2014-05-01,4,1,8,10,
2014-05-01,5,1,8,10,22
2014-05-01,6,1,9,11,20
2014-05-01,7,1,14,17,20
2014-05-01,8,5,15,22,20
2014-05-01,9,5,12,19,28
2014-05-01,10,3,9,14,44
2014-05-01,11,3,8,12,63
2014-05-01,12,1,6,9,84
2014-05-01,13,2,6,10,97
2014-05-01,14,1,7,9,103
2014-05-01,15,1,6,8,112
2014-05-01,16,1,5,7,115
2014-05-01,17,1,6,7,92
2014-05-01,18,1,7,8,82
2014-05-01,19,1,9,11,66
2014-05-01,20,1,14,15,59
2014-05-01,21,1,11,12,75
2014-05-01,22,1,7,8,77
2014-05-01,23,1,7,8,73
2014-05-01,24,1,5,7,65
2014-05-02,1,1,5,6,64
2014-05-02,2,1,4,5,62
2014-05-02,3,,,,58
2014-05-02,4,1,2,4,
2014-05-02,5,1,6,7,93
2014-05-02,6,1,8,10,85
2014-05-02,7,1,14,15,67
2014-05-02,8,1,21,24,56
2014-05-02,9,2,18,21,76
2014-05-02,10,2,17,21,75
2014-05-02,11,1,20,22,74
2014-05-02,12,1,12,14,82
2014-05-02,13,1,10,12,75
2014-05-02,14,1,8,10,83
2014-05-02,15,1,7,8,84
2014-05-02,16,1,6,8,94
2014-05-02,17,1,6,7,89
2014-05-02,18,1,2,2,97
2014-05-02,19,1,2,4,94
2014-05-02,20,1,2,2,95
2014-05-02,21,1,7,8,89
2014-05-02,22,1,9,10,75
2014-05-02,23,1,8,9,74
2014-05-02,24,1,6,7,68
2014-05-03,1,1,2,5,64
2014-05-03,2,1,2,6,51
2014-05-03,3,,,,38
2014-05-03,4,1,2,2,
2014-05-03,5,1,4,6,28
2014-05-03,6,1,8,10,27
2014-05-03,7,1,8,9,51
2014-05-03,8,1,6,7,84
2014-05-03,9,1,7,8,96
2014-05-03,10,1,6,8,104
2014-05-03,11,1,7,10,107
2014-05-03,12,1,4,7,113
2014-05-03,13,1,4,7,115
2014-05-03,14,1,2,5,117
2014-05-03,15,1,2,5,119
2014-05-03,16,1,5,6,116
2014-05-03,17,1,7,8,101
2014-05-03,18,1,7,9,82
2014-05-03,19,1,9,10,62
2014-05-03,20,1,10,12,54
2014-05-03,21,1,7,8,54
2014-05-03,22,1,5,7,46
2014-05-03,23,1,7,8,39
2014-05-03,24,1,7,8,38
2014-05-04,1,1,4,6,40
2014-05-04,2,1,5,6,37
2014-05-04,3,,,,28
2014-05-04,4,1,6,7,
2014-05-04,5,1,11,13,14
2014-05-04,6,1,12,14,23
2014-05-04,7,1,10,12,42
2014-05-04,8,1,7,9,66
2014-05-04,9,1,6,9,76
2014-05-04,10,1,5,7,81
2014-05-04,11,1,6,8,91
2014-05-04,12,2,7,11,97
2014-05-04,13,1,9,12,101
2014-05-04,14,1,7,10,106
2014-05-04,15,1,7,9,111
2014-05-04,16,1,8,9,113
2014-05-04,17,1,8,10,114
2014-05-04,18,1,7,8,113
2014-05-04,19,1,10,12,94
2014-05-04,20,1,14,16,69
2014-05-04,21,1,11,12,69
2014-05-04,22,1,9,10,67
2014-05-04,23,1,8,9,63
2014-05-04,24,1,6,8,57
2014-05-05,1,1,6,6,64
2014-05-05,2,1,5,6,75
2014-05-05,3,,,,81
2014-05-05,4,1,8,9,
2014-05-05,5,1,10,11,56
2014-05-05,6,1,11,13,53
2014-05-05,7,1,15,18,49
2014-05-05,8,2,11,14,72
2014-05-05,9,2,13,17,81
2014-05-05,10,1,10,13,89
2014-05-05,11,1,8,11,94
2014-05-05,12,1,8,10,99
2014-05-05,13,1,7,9,107
2014-05-05,14,1,8,10,110
2014-05-05,15,1,9,11,116
2014-05-05,16,1,9,11,118
2014-05-05,17,1,7,9,119
2014-05-05,18,1,9,11,116
2014-05-05,19,1,9,11,111
2014-05-05,20,1,9,12,102
2014-05-05,21,1,12,13,80
2014-05-05,22,1,9,10,73
2014-05-05,23,1,7,8,78
2014-05-05,24,1,5,7,78
2014-05-06,1,1,5,6,77
2014-05-06,2,1,4,6,76
2014-05-06,3,,,,81
2014-05-06,4,1,2,4,
2014-05-06,5,1,7,8,59
2014-05-06,6,1,9,10,53
2014-05-06,7,3,10,14,57
2014-05-06,8,1,10,13,70
2014-05-06,9,1,7,9,96
2014-05-06,10,1,7,10,109
2014-05-06,11,1,6,8,113
2014-05-06,12,2,6,9,118
2014-05-06,13,3,5,9,124
2014-05-06,14,1,5,6,130
2014-05-06,15,1,2,4,135
2014-05-06,16,1,4,5,134
2014-05-06,17,1,5,7,135
2014-05-06,18,1,5,6,128
2014-05-06,19,1,6,8,112
2014-05-06,20,1,5,6,102
2014-05-06,21,1,2,5,103
2014-05-06,22,1,2,2,105
2014-05-06,23,1,2,2,92
2014-05-06,24,1,2,2,88
2014-05-07,1,1,2,2,83
2014-05-07,2,1,2,2,74
2014-05-07,3,,,,65
2014-05-07,4,1,2,5,
2014-05-07,5,1,7,9,45
2014-05-07,6,1,9,11,46
2014-05-07,7,1,13,16,41
2014-05-07,8,2,14,17,52
2014-05-07,9,,,,
2014-05-07,10,6,19,29,69
